text_to_classify,predicted_code,predicted_label,prediction_probability
light sensitive,8974,Eye (Vision),0.2
sleep disorder,8989,Mental Disorders,0.93
lack concentration short memory forgetfullness,8989,Mental Disorders,0.86
insomnia,8989,Mental Disorders,0.95
skin rash arms chest neck back,9016,Skin,0.99
cramping stomach,8968,Digestive,0.69
arm nerves damage,9006,Neurological - Cranial/Peripheral Nerves,0.26
light sensitive,8974,Eye (Vision),0.2
sleep disorder,8989,Mental Disorders,0.93
lack concentration short memory forgetfullness,8989,Mental Disorders,0.86
obstructive sleep apnea,9012,Respiratory,0.99
spinal stenosis lumbosacral strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
cervical degenerative disc disease,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.87
hips,8989,Mental Disorders,0.1
hand finger numbness tingaling,8995,Musculoskeletal - Hand,0.92
pfb neck,9016,Skin,0.55
lumbar spondylolysis degenerative arthritis ddd other ivds,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.87
unspecified mental health,8989,Mental Disorders,0.95
neck osteoarthritis,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.85
celiac disease,8968,Digestive,0.73
arm neuropathy,9006,Neurological - Cranial/Peripheral Nerves,0.61
upper back stenosis,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.73
vertigo,8969,Ear Disease and Other Sense Organs,0.83
adjustment disorder mixed anxiety depression,8989,Mental Disorders,0.99
special monthly compensation from loss erectile dysfunction,9018,Special Monthly Compensation - Anatomical Loss/Loss Of Use,0.53
urinary incontinence urinary leakage,8975,Genitourinary,0.87
hypertnsion,8989,Mental Disorders,0.1
arm neuropathy,9006,Neurological - Cranial/Peripheral Nerves,0.61
upper back stenosis,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.73
vertigo,8969,Ear Disease and Other Sense Organs,0.83
numbness leg,8988,Leg Condition - Neurological other System,0.45
numbness arm,8929,Arm Condition - Neurological other System,0.65
cervical spine strain degenerative disc disease,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.87
sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.69
arm neuropathy,9006,Neurological - Cranial/Peripheral Nerves,0.61
upper back stenosis,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.73
vertigo,8969,Ear Disease and Other Sense Organs,0.83
numbness leg,8988,Leg Condition - Neurological other System,0.45
numbness arm,8929,Arm Condition - Neurological other System,0.65
cervical spine strain degenerative disc disease,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.87
arm neuropathy,9006,Neurological - Cranial/Peripheral Nerves,0.61
upper back stenosis,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.73
vertigo,8969,Ear Disease and Other Sense Organs,0.83
high cholesterol,8979,Heart/Veins/Arteries,0.64
painful surgical scar posterior trunk status post spinal fusion,9013,Scars (Extremities and Trunk),0.84
degenerative arthritis spine intervertebral disc disorder spinal fusion synovial cyst lumbar spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.92
insomnia,8989,Mental Disorders,0.95
lower sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.76
lower femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.69
lack sexual interest willingness sexual intimate,8989,Mental Disorders,0.43
bruxism,8967,Dental and Oral,0.55
insomnia sleep impairment,8989,Mental Disorders,0.96
excessive sweating profuse sweating on arm pit hands feet times whole body,9016,Skin,0.52
elbow arm,8993,Musculoskeletal - Elbow,0.98
neck upper back,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.97
pelvic,8996,Musculoskeletal - Hip,0.36
arthiritis,8989,Mental Disorders,0.1
broken collarbone residuals,249482,Musculoskeletal - Bones,0.11
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
knee degeneration medial meniscus arthritis,8997,Musculoskeletal - Knee,0.97
loss libido,8975,Genitourinary,0.3
sud,8989,Mental Disorders,0.1
persistent gastrointestinal symptoms,8968,Digestive,0.81
myofascial,8989,Mental Disorders,0.08
arm neuropathy,9006,Neurological - Cranial/Peripheral Nerves,0.61
hand carpal tunnel syndrome,8995,Musculoskeletal - Hand,0.52
other specified trauma,8989,Mental Disorders,0.65
insomnia,8989,Mental Disorders,0.95
hand fracture claimed hand,8995,Musculoskeletal - Hand,0.97
syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.25
degenerative disc disease back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.95
osteoarthritis lumbar spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.88
possible ptsd,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.21
hip impingement syndrome,8996,Musculoskeletal - Hip,0.99
endocrine disorder,8973,Endocrine,0.76
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
vertigo,8969,Ear Disease and Other Sense Organs,0.83
pharyngitis,9012,Respiratory,0.55
acute stroke,9007,Neurological other System,0.4
radiculopathy lower extremities femoral,9006,Neurological - Cranial/Peripheral Nerves,0.7
radiculopathy lower extremities femoral,9006,Neurological - Cranial/Peripheral Nerves,0.7
radiculopathy lower extremities sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.76
radiculopathy lower extremities sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.76
lumbosacral strain disc space narrowing,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.92
insomnia,8989,Mental Disorders,0.95
mst,None,,0.39
pilonidal cyst post operative,9016,Skin,0.21
intervertebral disc syndrome spondylolysis claimed back injury,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.89
migraines breathing difficulty stomach cramps,9012,Respiratory,0.68
renal impairment,8975,Genitourinary,0.38
residuals lumbosacral strain degenerative arthritis spondylosis canal stenosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.91
lumbar spinal fusion degenerative arthritis previously rated lumbar herniated disc referred low back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.99
lumbosacral strain previously rated under dc,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.6
pulsatile tinnitus,3140,Hearing Loss,0.93
superior semicircular canal dehiscence,9012,Respiratory,0.08
trichiasis,8989,Mental Disorders,0.1
shortness breath,9012,Respiratory,0.99
breathing issues,9012,Respiratory,0.99
polyuria,8989,Mental Disorders,0.1
finger,8995,Musculoskeletal - Hand,0.95
throat issues,9012,Respiratory,0.48
dry eyes,8974,Eye (Vision),0.4
arm,8929,Arm Condition - Neurological other System,0.51
vertigo,8969,Ear Disease and Other Sense Organs,0.83
anal fissures,8968,Digestive,0.53
obstructive sleep apnea osa,9012,Respiratory,1.0
ptsd fear life,8989,Mental Disorders,0.67
arm,8929,Arm Condition - Neurological other System,0.51
lumbosacral disc degeneration lumbosacral facet joint osteoarthritis referred lumbosacral ddd claimed lumbar ddd,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
hip strain,8996,Musculoskeletal - Hip,0.99
hip strain,8996,Musculoskeletal - Hip,0.99
numbness hands fingers,9006,Neurological - Cranial/Peripheral Nerves,0.52
cronic back shoulders knees,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
cervical disc degeneration,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.89
limitation motion ankle,8991,Musculoskeletal - Ankle,0.89
limitation motion ankle,8991,Musculoskeletal - Ankle,0.89
cervical strain degenerative arthritis spondylosis claimed neck strain,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.99
bulging disc back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.94
arthritis knee,8997,Musculoskeletal - Knee,0.81
gulf war syndrome,8968,Digestive,0.13
erectile dysfunction ed secondary,8975,Genitourinary,0.99
insomnia,8989,Mental Disorders,0.95
narcolepsy,9007,Neurological other System,0.77
obstructive sleep apnea,9012,Respiratory,0.99
insomnia,8989,Mental Disorders,0.95
sleep disturbances,8989,Mental Disorders,0.6
diverticulosis,8968,Digestive,0.75
neuropathy hands,9006,Neurological - Cranial/Peripheral Nerves,0.79
postural orthostatic tachycardia syndrome,8979,Heart/Veins/Arteries,0.92
lymphedema,8981,Hemic and Lymphatic,0.24
elbow arthritis,8993,Musculoskeletal - Elbow,0.96
elbow arthritis,8993,Musculoskeletal - Elbow,0.96
lower radiculopathy extremity sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
lower radiculopathy extremity sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
lower radiculopathy extremity femoral,9006,Neurological - Cranial/Peripheral Nerves,0.64
lower radiculopathy extremity femoral,9006,Neurological - Cranial/Peripheral Nerves,0.64
thoracolumbar strain claimed lumbar spine painful motion,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.95
sleep apnea requiring cpap,9012,Respiratory,0.91
unable lift shoulder full extention do mos wire system installer,9002,Musculoskeletal - Shoulder,0.29
sciatic spinos,9006,Neurological - Cranial/Peripheral Nerves,0.49
,8989,Mental Disorders,0.1
severe asthma,9012,Respiratory,0.94
section scar,9013,Scars (Extremities and Trunk),0.7
dental missing teeth bridge,8967,Dental and Oral,0.91
sleep insomnia,8989,Mental Disorders,0.96
pact act related disability,9012,Respiratory,0.39
anxiety depression,8989,Mental Disorders,0.99
lower radiculopathy sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.76
lower radiculopathy sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.76
lower radiculopathy femoral,9006,Neurological - Cranial/Peripheral Nerves,0.7
lower radiculopathy femoral,9006,Neurological - Cranial/Peripheral Nerves,0.7
traumatic arthritis knee postoperative,8997,Musculoskeletal - Knee,0.61
traumatic arthritis shoulder,9002,Musculoskeletal - Shoulder,0.78
degenerative changes lumbar spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.95
post traumatic cyst chin,9016,Skin,0.17
eyes narrow angles,8989,Mental Disorders,0.1
adhd,8989,Mental Disorders,0.9
dysphonia,8989,Mental Disorders,0.1
abnormalities gait mobility,9001,Musculoskeletal - Other,0.07
snoring,9012,Respiratory,0.87
sacroiliitis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.61
disorder lumbar disc,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.93
hypermetropia,8989,Mental Disorders,0.1
presbyopia,8989,Mental Disorders,0.1
elbow joint,8993,Musculoskeletal - Elbow,0.99
insomnia,8989,Mental Disorders,0.95
gastro esophageal reflux disorder,8968,Digestive,0.99
tinea unguium,9016,Skin,0.61
depressive disorder anxious distress,8989,Mental Disorders,0.97
severe back issues,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.82
both knees,8989,Mental Disorders,0.1
insomnia,8989,Mental Disorders,0.95
bladder dysfunction urinary retention incontinence appliance recurrent utis,8975,Genitourinary,0.98
sexual dysfunction,8975,Genitourinary,0.68
neurocognitive impairment,8989,Mental Disorders,0.35
panic disorder panic attacks,8989,Mental Disorders,0.96
occupational social impairment,8989,Mental Disorders,0.56
tension headaches migraines,9007,Neurological other System,0.49
adjustment disorder mixed anxiety depressed mood,8989,Mental Disorders,0.99
cognitive impairment slowed processing memory deficits executive function difficulties,8989,Mental Disorders,0.6
lower extremity muscle weakness,9006,Neurological - Cranial/Peripheral Nerves,0.25
upper extremity muscle weakness,9006,Neurological - Cranial/Peripheral Nerves,0.26
sensory impairment numbness paresthesias pinsandneedles sensory neuropathy,9006,Neurological - Cranial/Peripheral Nerves,0.61
balance coordination issues ataxia vertigo risk falls,8969,Ear Disease and Other Sense Organs,0.92
limitation motion ankle,8991,Musculoskeletal - Ankle,0.89
limitation motion arm,8929,Arm Condition - Neurological other System,0.38
paralysis sciatic nerve sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.82
ptsd verified stressor,8989,Mental Disorders,0.85
knees,8989,Mental Disorders,0.1
lumbar scoliosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
knees,8989,Mental Disorders,0.1
degenerative disc disease l l l s trapezious muscle myofascial syndrome thoracolumbar spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.91
sciatica nerve,9006,Neurological - Cranial/Peripheral Nerves,0.81
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
spondylosis thoracolumbar spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.93
pancreatitus,8989,Mental Disorders,0.1
mental health,8989,Mental Disorders,0.93
burn pits,9016,Skin,0.36
mental health sleep disturbances anxiety depression,8989,Mental Disorders,1.0
lower gi tract unspecfied,8968,Digestive,0.39
skin arms chest,9016,Skin,0.88
heart ventricle dilation,8979,Heart/Veins/Arteries,0.99
auditory processing disorder,3140,Hearing Loss,0.33
neck upper back,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.97
numbness hand,9006,Neurological - Cranial/Peripheral Nerves,0.45
combat related ptsd,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.97
temporary disability rating surgery,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.15
arthroscopy knee,8997,Musculoskeletal - Knee,0.93
lumbosacral spine degenerative disc disease l s osteoarthritis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
depressive disorder anxious distress,8989,Mental Disorders,0.97
lumbar degenerative arthritis lumbar compression fracture claimed degenerative disk disease lumbar spine,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
cervical spine degenerative disk disease spinal stenosis claimed degenerative disk disease c c cervical spine,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.85
upper extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.46
vertigo,8969,Ear Disease and Other Sense Organs,0.83
cervical strain degenerative disc disease other intervertebral disc syndrome ivds arthritis,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.54
lumbosacral strain degenerative disc disease other intervertebral disc syndrome ivds arthritis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.95
radiculopathy lower extremity femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.79
degenerative arthritis lumbar spine intervertebral disc syndrome spondylolisthesis lower extremity radiculopathy,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.99
ulnar neuropathy upper extremity claimed,8929,Arm Condition - Neurological other System,0.5
knee degenerative joint disease djd claimed,8997,Musculoskeletal - Knee,0.76
fatigue daytime drowsiness,8989,Mental Disorders,0.39
obstructive sleep apnea osa,9012,Respiratory,1.0
medication effects,8968,Digestive,0.57
testicular,8975,Genitourinary,0.88
non alcoholic fatty liver disease nafld,8968,Digestive,0.65
request increased evaluation service connected lower extremity radiculopathy,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.39
request increased evaluation service connected lumbosacral strain degenerative disc disease ddd,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.85
cervical strain claimed cervical spine painful motion,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.97
adolescent idiopathic scoliosis lumbar region kyphosis disc space height loss claimed lumbar spine painful motion,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.9
upper extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.46
upper extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.46
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
mental health,8989,Mental Disorders,0.93
cervical strain claimed neck cervicalgia somatic dysfunction cervical region,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),1.0
lumbosacral strain claimed segmental dysfunction thoracic region,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.85
cervical,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.88
teeth grinding,8967,Dental and Oral,0.75
galbladder issues bloat removal recomended,8968,Digestive,0.15
intervertebral disc syndrome ivds neck asymmetric uncovertebral hypertrophy,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.75
thoracolumbar back strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
exposure fuel oils aviation fuels asbestos,9012,Respiratory,0.62
intervertebral disc syndrome ivds,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.67
hidradenitis suppurativa,9016,Skin,0.78
lower radiculopathy extremity sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
lumbosacral strain claimed lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.98
insomnia,8989,Mental Disorders,0.95
sciatica,9006,Neurological - Cranial/Peripheral Nerves,0.69
degenerative disc disease degenerative joint disease lumbar spine claimed lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
degenerative arthritis metatarsal mtp joint,8994,Musculoskeletal - Foot,0.46
headaaches,8989,Mental Disorders,0.1
neck stiffness radiating,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.67
hip nerve,8996,Musculoskeletal - Hip,0.78
back strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
compensation inpatient rehab stay,9017,Special Monthly Compensation - Aid and Attendance/Housebound,0.46
hypertension ankle residuals gunshot wound ankle hearing loss tinnitus flatfoot exposures burn pits,8991,Musculoskeletal - Ankle,0.57
insomnia,8989,Mental Disorders,0.95
tailbone,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.35
peyronies,8989,Mental Disorders,0.1
middle toe wort growth over toenail,8994,Musculoskeletal - Foot,0.62
scar arm,9013,Scars (Extremities and Trunk),0.82
scar knee,9013,Scars (Extremities and Trunk),0.9
suicidal ideation,8989,Mental Disorders,0.93
upper extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.46
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
vertigo,8969,Ear Disease and Other Sense Organs,0.83
medically unexplained multisymptom illness,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.17
functional gastrointestinal disorders,8968,Digestive,0.94
dyspnea,9012,Respiratory,0.83
abnormal uterine bleeding,8978,Gynecological,0.62
pelvic,8996,Musculoskeletal - Hip,0.36
dysmenorrhea,8978,Gynecological,0.46
skin hypesthesia paresthesia,9016,Skin,0.89
respiratory infection pact act,9012,Respiratory,0.98
cervical strain rad,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.97
sinusitis pact,9012,Respiratory,0.94
sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.78
stiff upper back,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.33
insomnia,8989,Mental Disorders,0.95
rash on back,9016,Skin,0.92
extreme stiff wrist,9004,Musculoskeletal - Wrist,0.39
nerve shoulder,9002,Musculoskeletal - Shoulder,0.69
insomnia,8989,Mental Disorders,0.95
bulging disc lower back scoliosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.99
status post acromioclavicular separation degenerative joint disease shoulder post operative,9002,Musculoskeletal - Shoulder,0.83
spinal cord absyss,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.5
sleep insomnia,8989,Mental Disorders,0.96
humerus fracture,9002,Musculoskeletal - Shoulder,0.19
guillain barr syndrome flu vaccine,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.25
pericarditis myocarditis covid vaccination,8979,Heart/Veins/Arteries,0.43
biceps tendon rupture,9005,Musculoskeletal and Muscle Injuries,0.21
hand forearm weakness easy fatiguability,9006,Neurological - Cranial/Peripheral Nerves,0.3
lower radiculopathy extremity sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
lower radiculopathy extremity sciatic,9006,Neurological - Cranial/Peripheral Nerves,0.68
lower radiculopathy extremity femoral,9006,Neurological - Cranial/Peripheral Nerves,0.64
lower radiculopathy extremity femoral,9006,Neurological - Cranial/Peripheral Nerves,0.64
lumbar strain stabbing injury muscle group xx,9005,Musculoskeletal and Muscle Injuries,0.51
thoracolumbar sprain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.77
clear unmistakable error back lombar strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
sleep disorder,8989,Mental Disorders,0.93
foot fungus,9016,Skin,0.69
anxiety attacks under medication,8989,Mental Disorders,0.68
labral tear hip,8996,Musculoskeletal - Hip,0.94
voiding dysfunction,8975,Genitourinary,0.86
lower sciatic nerve,9006,Neurological - Cranial/Peripheral Nerves,0.76
lower femoral nerve,9006,Neurological - Cranial/Peripheral Nerves,0.69
male erectile dysfunction lack sexual interest willingness sexual intimate,8975,Genitourinary,0.82
excessive sweating hands feet armpits night sweats,9016,Skin,0.44
bruxism,8967,Dental and Oral,0.55
insomnia disorder sleep impairment,8989,Mental Disorders,0.98
arm arm,8929,Arm Condition - Neurological other System,0.51
upper respiratory infection sinus infection,9012,Respiratory,0.98
upper back neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.97
episodic migraine headaches,9006,Neurological - Cranial/Peripheral Nerves,0.39
insomnia,8989,Mental Disorders,0.95
vestibular disorder vertigo,8969,Ear Disease and Other Sense Organs,0.95
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
shoulder joint separation,9002,Musculoskeletal - Shoulder,0.95
obstructive sleep apnea,9012,Respiratory,0.99
persistent trigeminal artery,8979,Heart/Veins/Arteries,0.29
tia,8989,Mental Disorders,0.1
heart issues,8979,Heart/Veins/Arteries,0.99
scars knee,8997,Musculoskeletal - Knee,1.0
thoracolumbar spine strain intervertebral disc syndrome osteoarthritis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.92
lower back knees leg makes difficult walk,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.4
lumbosacral strain intervertebral disc syndrome previously rated low back strain degenerative disc disease,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.97
silicosis,8989,Mental Disorders,0.1
eye scratch,8974,Eye (Vision),1.0
heart issues,8979,Heart/Veins/Arteries,0.99
tremors,8989,Mental Disorders,0.1
lumbar strain levoscoliosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.86
myalgias,8989,Mental Disorders,0.1
arthralgias,8989,Mental Disorders,0.1
hyperkeratosis,8989,Mental Disorders,0.1
pulmonic regurgitation,8979,Heart/Veins/Arteries,0.33
tricuspid regurgitation,8979,Heart/Veins/Arteries,0.33
trivial mitral regurgitation,8979,Heart/Veins/Arteries,0.77
heart murmur,8979,Heart/Veins/Arteries,0.94
cubital tunnel syndrome,9006,Neurological - Cranial/Peripheral Nerves,0.47
obstructive sleep apnea,9012,Respiratory,0.99
intervertebral disc syndrome previously rated residuals lumbar spine fracture l,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.89
ankle both ankles,8991,Musculoskeletal - Ankle,1.0
tinnitus buzzing ears,3140,Hearing Loss,0.93
foot plantar fasciitis,8994,Musculoskeletal - Foot,1.0
hepatic hemangioma on liver,8968,Digestive,0.88
degenerative arthritis osteoarthritis foot achilleas enthesophyte,8994,Musculoskeletal - Foot,0.75
temporary hip replacment,8996,Musculoskeletal - Hip,0.93
band strain,8997,Musculoskeletal - Knee,0.33
memory loss,8989,Mental Disorders,0.75
wrist weakness,9004,Musculoskeletal - Wrist,0.72
worsen asthma,9012,Respiratory,1.0
insomnia,8989,Mental Disorders,0.95
thumb,8995,Musculoskeletal - Hand,0.94
sleep insomnia,8989,Mental Disorders,0.96
lumbosacral strain claimed lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.98
severe restless leg syndrome,9006,Neurological - Cranial/Peripheral Nerves,0.4
toe nail falling off sprain ankle hair fracture ankle hearing loss,8991,Musculoskeletal - Ankle,0.73
alcohol disorder,8989,Mental Disorders,0.81
attention deficit hyperactivity disorder,8989,Mental Disorders,0.82
shoulder ac joint arthritis,9002,Musculoskeletal - Shoulder,0.59
joint,9001,Musculoskeletal - Other,0.29
migraines shensplits hearing loss extreme back ptsd tinnitus pinched nerve neck sleeping problems take medicine help sleep shakes,8989,Mental Disorders,0.42
dissociative identity disorder,8989,Mental Disorders,0.86
nerve related soft tissue shoulder neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.19
head injury from wreck while on duty permanent head disfigurement from collision tinnitus from generators on hawk missile base neck strain hypertension,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.14
insomnia,8989,Mental Disorders,0.95
pituitary tumor beignin,8973,Endocrine,0.18
individual unemployability iu,8989,Mental Disorders,0.18
rated percent ptsd eligible individual unemployability iu,8989,Mental Disorders,0.2
earlier effective date posttraumatic stress disorder rated,9010,Post Traumatic Stress Disorder (PTSD) Combat - Mental Disorders,0.25
individual unemployability iu decision date december,8989,Mental Disorders,0.13
alcoholism,8989,Mental Disorders,0.83
pharyngitis,9012,Respiratory,0.55
lower extremity radiculopathy,9006,Neurological - Cranial/Peripheral Nerves,0.45
anxiety disorder,8989,Mental Disorders,0.98
alcoholism,8989,Mental Disorders,0.83
ankle strain limited range motion,8991,Musculoskeletal - Ankle,0.83
cervical dysplasia,8978,Gynecological,0.27
hemorrhoids internal external,8968,Digestive,0.32
ingrown nail big toes,9016,Skin,0.7
shortness breath,9012,Respiratory,0.99
mental health,8989,Mental Disorders,0.93
facial neuropathy,9006,Neurological - Cranial/Peripheral Nerves,0.65
dental mva ap transverse hypoplasia mandibular hypoplasia,8967,Dental and Oral,0.79
sleep apnea cpap,9012,Respiratory,0.98
hand foot neuropathy,9006,Neurological - Cranial/Peripheral Nerves,0.83
back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.96
nose abrasion,9012,Respiratory,0.75
idiopathic hypersomnia on stimulant,8989,Mental Disorders,0.34
neck injury cervical dystonia,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.99
central serous choroidopathy eyes,8974,Eye (Vision),0.3
mictromytosis,8989,Mental Disorders,0.1
hyperlipidemia,8979,Heart/Veins/Arteries,0.57
uterine fibroids,8978,Gynecological,0.49
thyroid nodule,8973,Endocrine,0.71
rhinitis pact act,9012,Respiratory,0.94
sinusitis pact act,9012,Respiratory,0.95
respiratory infection pact act,9012,Respiratory,0.98
lumbar strain rad,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.95
scars torso,8989,Mental Disorders,0.1
scars extremity head,9006,Neurological - Cranial/Peripheral Nerves,0.34
cervical strain rad neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.99
menorrhagia,8978,Gynecological,0.65
skin xerosis cutis eczema psoriasis pact act,9016,Skin,1.0
joint pains,9001,Musculoskeletal - Other,0.29
bruxism,8967,Dental and Oral,0.55
hand tremors,8995,Musculoskeletal - Hand,0.95
scoliosis,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.75
astigmatism,8974,Eye (Vision),0.83
fatigue syndrome fibromyalgia kidney urinary tract including bladder conditions,8975,Genitourinary,0.75
shoulder tear,9002,Musculoskeletal - Shoulder,1.0
sleep disturbance,8989,Mental Disorders,0.87
guillen barre syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",0.25
lumber strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),0.56
herniated disc cervical spine,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),0.87
eye sight glasses going into navy needed glasses before got out,8974,Eye (Vision),0.99
tinnitus ringing hissing ears hearing loss hypertension high blood pressure mitral valve prolapse,8979,Heart/Veins/Arteries,0.95
