text_to_classify,expected_classification,expected_classification_label,prediction,prediction_label,is_accurate
"knee or patellar fracture, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
"foot fracture (tarsal or metatarsal fracture), right",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"tibia or fibula fracture, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
pancreatic cancer,8932,Cancer - Digestive,8932,Cancer - Digestive,True
liver cancer,8932,Cancer - Digestive,8932,Cancer - Digestive,True
lung cancer,1230,Cancer - Respiratory,1230,Cancer - Respiratory,True
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"degenerative arthritis (osteoarthritis) in hand or fingers, bilateral",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
menstrual disorders,8978,Gynecological,8978,Gynecological,True
Respiratory,9012,Respiratory,9012,Respiratory,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
"shin splints, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"post-traumatic arthritis in shoulder, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"degenerative arthritis (osteoarthritis) in shoulder, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"degenerative arthritis (osteoarthritis) in knee, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
bursitis elbow,8993,Musculoskeletal - Elbow,8993,Musculoskeletal - Elbow,True
"knee replacement (knee arthroplasty), bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
foot,8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
asthma,9012,Respiratory,9012,Respiratory,True
dry eye syndrome,8974,Eye (Vision),8974,Eye (Vision),True
lower back sprain lumbosacral sprain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"gout in wrist, bilateral",9004,Musculoskeletal - Wrist,9004,Musculoskeletal - Wrist,True
"gout in foot, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
congestive heart failure (CHF),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
arrhythmia (irregular heartbeat),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
heart attack (myocardial infarction),8971,Embolism/Infarction - Heart/Veins/Arteries,8971,Embolism/Infarction - Heart/Veins/Arteries,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
Migraines,9007,Neurological other System,9007,Neurological other System,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
Sleep Apnea,9012,Respiratory,9012,Respiratory,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
hip,8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"plantar fasciitis, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"knee strain or sprain, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"bursitis in hip, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
hysterectomy and ovariectomy (removal of uterus and both ovaries),8978,Gynecological,8978,Gynecological,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
bladder,8975,Genitourinary,8975,Genitourinary,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
"degenerative arthritis (osteoarthritis) in knee, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"degenerative arthritis (osteoarthritis) in knee, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"degenerative arthritis (osteoarthritis) in ankle, right",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"degenerative arthritis (osteoarthritis) in ankle, left",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"knee instability, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"knee instability, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
fibromyalgia,9007,Neurological other System,9007,Neurological other System,True
"carpal tunnel syndrome, right",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"carpal tunnel syndrome, left",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"shoulder strain, right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"shoulder strain, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
erectile dysfunction (ED),8975,Genitourinary,8975,Genitourinary,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"frostbite in foot, bilateral",8943,Cold Injury Residuals,8943,Cold Injury Residuals,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
chronic fatigue syndrome,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"shoulder impingement syndrome, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
"temporomandibular disorder, including TMJ",249481,Dental and Oral - Musculoskeletal,249481,Dental and Oral - Musculoskeletal,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
"patellofemoral pain syndrome, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
lower back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"basal cell carcinoma of the skin, head or neck",1250,Cancer - Skin,1250,Cancer - Skin,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
pulmonary fibrosis,9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
shoulder strain,9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
middle back strain (thoracic strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"PTSD (post-traumatic stress disorder), combat-related",8989,Mental Disorders,8989,Mental Disorders,True
"tendonitis (tendinitis) in foot, right",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"shoulder strain, right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"knee strain or sprain, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
lower back sprain (lumbosacral sprain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
persistent depressive disorder (dysthymic disorder),8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
"temporomandibular disorder, including TMJ",249481,Dental and Oral - Musculoskeletal,249481,Dental and Oral - Musculoskeletal,True
"knee strain or sprain, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
Tinnitus,3140,Hearing Loss,3140,Hearing Loss,True
anxiety,8989,Mental Disorders,8989,Mental Disorders,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"shoulder strain, right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
arrhythmia (irregular heartbeat),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
premature ventricular contractions,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
"flatfoot (pes planus), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"greater trochanteric pain syndrome (lateral hip pain), bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"tendonitis (tendinitis) in knee, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"intervertebral disc syndrome (IVDS), back",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"spinal arthritis, back",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"degenerative arthritis (osteoarthritis) in knee, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"degenerative arthritis (osteoarthritis) in knee, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"ankylosis in knee, left",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"ankylosis in knee, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"knee instability, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"patellofemoral pain syndrome, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"radiculopathy, bilateral lower extremities",8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
urinary incontinence (loss of bladder control),8975,Genitourinary,8975,Genitourinary,True
"greater trochanteric pain syndrome (lateral hip pain), left",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"greater trochanteric pain syndrome (lateral hip pain), right",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"ankylosis in hip, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"bursitis in hip, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
"hip impingement (femoroacetabular impingement or FAI), bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
generalized anxiety disorder (GAD),8989,Mental Disorders,8989,Mental Disorders,True
adjustment disorder,8989,Mental Disorders,8989,Mental Disorders,True
ankle,8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"degenerative arthritis (osteoarthritis) in ankle, right",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"tendonitis (tendinitis) in ankle, right",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"degenerative arthritis (osteoarthritis) in ankle, left",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"hearing loss, other than tinnitus",3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
irritable bowel syndrome (IBS),8968,Digestive,8968,Digestive,True
"intervertebral disc syndrome (IVDS), neck",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
cervical spinal stenosis (narrowing of spinal canal in neck),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"ankle sprain, left",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"spinal arthritis, neck",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"PTSD (post-traumatic stress disorder), non-combat-related",8989,Mental Disorders,8989,Mental Disorders,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
asthma,9012,Respiratory,9012,Respiratory,True
hemorrhoids,8968,Digestive,8968,Digestive,True
"tendonitis (tendinitis) in ankle, left",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"radiculopathy, bilateral upper extremities",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
neck,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
depression (major depressive disorder),8989,Mental Disorders,8989,Mental Disorders,True
hypertension (high blood pressure),8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
Erectile Dysfunction,8975,Genitourinary,8975,Genitourinary,True
foot,8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
Migraines,9007,Neurological other System,9007,Neurological other System,True
shoulder,9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
elbow,8993,Musculoskeletal - Elbow,8993,Musculoskeletal - Elbow,True
wrist,9004,Musculoskeletal - Wrist,9004,Musculoskeletal - Wrist,True
Cervical strain,8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
Lumbosacral strain,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
skin,9016,Skin,9016,Skin,True
ankle,8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
Hypertension,8979,Heart/Veins/Arteries,8979,Heart/Veins/Arteries,True
knee,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
Sinusitis,9012,Respiratory,9012,Respiratory,True
allergic rhinitis,9012,Respiratory,9012,Respiratory,True
hand,8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
tinnitus,3140,Hearing Loss,3140,Hearing Loss,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
"deep vein thrombosis (DVT) in leg, left",8987,Leg Condition - Heart/Veins/Arteries,8987,Leg Condition - Heart/Veins/Arteries,True
"scars, extremities or trunk",9013,Scars (Extremities and Trunk),9013,Scars (Extremities and Trunk),True
"radiculopathy, right upper extremities",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"meniscus tear, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"knee instability, right",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
hearing loss,3140,Hearing Loss,3140,Hearing Loss,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
anxiety,8989,Mental Disorders,8989,Mental Disorders,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus ringing hissing ears,3140,Hearing Loss,3140,Hearing Loss,True
"wrist sprain, bilateral",9004,Musculoskeletal - Wrist,9004,Musculoskeletal - Wrist,True
urinary incontinence (loss of bladder control),8975,Genitourinary,8975,Genitourinary,True
"hip sprain, bilateral",8996,Musculoskeletal - Hip,8996,Musculoskeletal - Hip,True
ovarian cysts,8951,Cyst/Benign Growth - Gynecological,8951,Cyst/Benign Growth - Gynecological,True
"plantar fasciitis, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"shoulder strain, right",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"knee instability, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
conjunctivitis pink eye,8974,Eye (Vision),8974,Eye (Vision),True
gastroenteritis,8968,Digestive,8968,Digestive,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
chronic bronchitis,9012,Respiratory,9012,Respiratory,True
hemorrhoids,8968,Digestive,8968,Digestive,True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
athletes foot tinea pedis,9016,Skin,9016,Skin,True
eye,8974,Eye (Vision),8974,Eye (Vision),True
migraine,9007,Neurological other System,9007,Neurological other System,True
depression,8989,Mental Disorders,8989,Mental Disorders,True
anxiety condition,8989,Mental Disorders,8989,Mental Disorders,True
lung condition,9012,Respiratory,9012,Respiratory,True
shoulder strain,9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
foot pain,8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
knee strain,8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
low back,8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
ears-ringing,3140,Hearing Loss,3140,Hearing Loss,True
ptsd post traumatic stress disorder,8989,Mental Disorders,8989,Mental Disorders,True
"degenerative arthritis (osteoarthritis) in ankle, bilateral",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
GERD (gastroesophageal reflux disease),8968,Digestive,8968,Digestive,True
chronic sinusitis,9012,Respiratory,9012,Respiratory,True
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"intervertebral disc syndrome (IVDS), neck",8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
cervical spinal stenosis (narrowing of spinal canal in neck),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
"temporomandibular disorder, including TMJ",249481,Dental and Oral - Musculoskeletal,249481,Dental and Oral - Musculoskeletal,True
middle back strain (thoracic strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"golfer's elbow (medial epicondylitis), left",8993,Musculoskeletal - Elbow,8993,Musculoskeletal - Elbow,True
sleep apnea,9012,Respiratory,9012,Respiratory,True
PTSD (post-traumatic stress disorder),8989,Mental Disorders,8989,Mental Disorders,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
"chronic rhinitis, allergic or non-allergic",9012,Respiratory,9012,Respiratory,True
migraines (headaches),9007,Neurological other System,9007,Neurological other System,True
neck strain (cervical strain),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),8999,Musculoskeletal - Neck/Upper Back (Cervical Spine),True
lower back strain (lumbosacral strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
middle back strain (thoracic strain),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),8998,Musculoskeletal - Mid/Lower Back (Thoracolumbar Spine),True
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006,Neurological - Cranial/Peripheral Nerves,9006,Neurological - Cranial/Peripheral Nerves,True
"temporomandibular disorder, including TMJ",249481,Dental and Oral - Musculoskeletal,249481,Dental and Oral - Musculoskeletal,True
"golfer's elbow (medial epicondylitis), bilateral",8993,Musculoskeletal - Elbow,8993,Musculoskeletal - Elbow,True
respiratory,9012,Respiratory,9012,Respiratory,True
"tendonitis (tendinitis) in hand or fingers, bilateral",8995,Musculoskeletal - Hand,8995,Musculoskeletal - Hand,True
"tendonitis (tendinitis) in wrist, bilateral",9004,Musculoskeletal - Wrist,9004,Musculoskeletal - Wrist,True
"patellofemoral pain syndrome, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
hemorrhoids,8968,Digestive,8968,Digestive,True
"scars, extremities or trunk",9013,Scars (Extremities and Trunk),9013,Scars (Extremities and Trunk),True
"bursitis in foot, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"bursitis in ankle, bilateral",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"bursitis in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"bursitis in shoulder, bilateral",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"bursitis in elbow, bilateral",8993,Musculoskeletal - Elbow,8993,Musculoskeletal - Elbow,True
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016,Skin,9016,Skin,True
tinnitus (ringing or hissing in ears),3140,Hearing Loss,3140,Hearing Loss,True
"metatarsalgia (pain in ball of foot), bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"hammer toe, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
athlete's foot (tinea pedis),9016,Skin,9016,Skin,True
"ankle sprain, right",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
"degenerative arthritis (osteoarthritis) in shoulder, left",9002,Musculoskeletal - Shoulder,9002,Musculoskeletal - Shoulder,True
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997,Musculoskeletal - Knee,8997,Musculoskeletal - Knee,True
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994,Musculoskeletal - Foot,8994,Musculoskeletal - Foot,True
"degenerative arthritis (osteoarthritis) in ankle, bilateral",8991,Musculoskeletal - Ankle,8991,Musculoskeletal - Ankle,True
