# rows of data: 5000,  
# @contention_text,@classification_code
GERD (gastroesophageal reflux disease),8968
irritable bowel syndrome (IBS),8968
bipolar disorder,8989
generalized anxiety disorder (GAD),8989
"shoulder strain, left",9002
sleep apnea,9012
PTSD (post-traumatic stress disorder),8989
adjustment disorder,8989
"degenerative arthritis (osteoarthritis) in ankle, right",8991
"chronic rhinitis, allergic or non-allergic",9012
eczema (atopic dermatitis),9016
"tennis elbow (lateral epicondylitis), left",8993
"plantar fasciitis, bilateral",8994
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
lower back strain (lumbosacral strain),8998
middle back strain (thoracic strain),8998
"tendonitis (tendinitis) in shoulder, left",9002
"degenerative arthritis (osteoarthritis) in shoulder, left",9002
neck strain (cervical strain),8999
"spondylolisthesis, neck",8999
sleep apnea,9012
tinnitus (ringing or hissing in ears),3140
prostate cancer,8935
"shoulder strain, bilateral",9002
"degenerative arthritis (osteoarthritis) in wrist, bilateral",9004
Depression,8989
unmapped contention text ['anxiety'],8989
Migraines,9007
Hearing loss,3140
Tinnitus,3140
chronic fatigue syndrome,8986
sleep apnea,9012
depression (major depressive disorder),8989
psoriasis,9016
generalized anxiety disorder (GAD),8989
persistent depressive disorder (dysthymic disorder),8989
"bursitis in shoulder, left",9002
"knee strain or sprain, bilateral",8997
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016
tinnitus (ringing or hissing in ears),3140
tachycardia,8979
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006
"non-diabetic peripheral neuropathy, bilateral upper extremities",9006
irritable bowel syndrome (IBS),8968
Migraines (headaches),9007
"bunions (hallux valgus), right",8994
loss of teeth due to bone loss,8967
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
Hearing Loss,3140
vaginal cancer,8937
"bunions (hallux valgus), left",8994
iron deficiency anemia,8981
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
Erectile Dysfunction (ED),8975
asthma,9012
migraines (headaches),9007
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
chronic sinusitis,9012
"shin splints, bilateral",8997
hypothyroidism (underactive thyroid),8973
migraines (headaches),9007
neck strain (cervical strain),8999
PTSD (post-traumatic stress disorder),8989
generalized anxiety disorder (GAD),8989
"flatfoot (pes planus), bilateral",8994
"ankylosis in ankle, right",8991
"knee instability, right",8997
"hip impingement (femoroacetabular impingement or FAI), bilateral",8996
lower back strain (lumbosacral strain),8998
"wrist fracture, right",9004
"shoulder strain, right",9002
"shoulder strain, left",9002
hearing loss,3140
sleep apnea,9012
migraines (headaches),9007
GERD (gastroesophageal reflux disease),8968
"carpal tunnel syndrome, right",9006
"carpal tunnel syndrome, left",9006
neck strain (cervical strain),8999
generalized anxiety disorder (GAD),8989
"radiculopathy, right upper extremities",8999
"radiculopathy, left upper extremities",8999
"radiculopathy, right lower extremities",8998
"radiculopathy, left lower extremities",8998
lower back strain (lumbosacral strain),8998
tinnitus (ringing or hissing in ears),3140
"shin splints, bilateral",8997
"ankylosis in hip, right",8996
"radiculopathy, bilateral lower extremities",8998
PTSD (post-traumatic stress disorder),8989
lower back strain (lumbosacral strain),8998
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
"ankylosis in knee, left",8997
"degenerative arthritis (osteoarthritis) in shoulder, bilateral",9002
hypothyroidism (underactive thyroid),8973
cervical spinal stenosis (narrowing of spinal canal in neck),8999
diabetic nephropathy (diabetic kidney disease),8975
Hypertension,8979
"visual impairment, including blurry vision, blindness and double vision",8974
depression (major depressive disorder),8989
obsessive compulsive disorder (OCD),8989
"plantar fasciitis, bilateral",8994
"knee strain or sprain, bilateral",8997
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
lower back strain (lumbosacral strain),8998
tinnitus (ringing or hissing in ears),3140
"shin splints, bilateral",8997
"chronic rhinitis, allergic or non-allergic",9012
"bursitis in foot, bilateral",8994
migraines (headaches),9007
irritable bowel syndrome (IBS),8968
"PTSD (post-traumatic stress disorder), non-combat-related",8989
"flatfoot (pes planus), bilateral",8994
malaria,8986
"flatfoot (pes planus), bilateral",8994
"ankylosis in ankle, bilateral",8991
generalized anxiety disorder (GAD),8989
"knee hyperextension (genu recurvatum), right",8997
acne,9016
tinnitus (ringing or hissing in ears),3140
tinnitus (ringing or hissing in ears),3140
"degenerative arthritis (osteoarthritis) in hand or fingers, bilateral",8995
unmapped contention text ['ankle'],8991
GERD (gastroesophageal reflux disease),8968
unmapped contention text ['shoulder'],9002
PTSD (post-traumatic stress disorder),8989
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
iron deficiency anemia,8981
"visual impairment, including blurry vision, blindness and double vision",8974
"shin splints, bilateral",8997
athlete's foot (tinea pedis),9016
"Boutonniere deformity in fingers, bilateral",8995
"ankylosis in ankle, right",8991
"ankylosis in ankle, left",8991
"ankylosis in ankle, bilateral",8991
"ankylosis in hip, right",8996
"ankylosis in hip, left",8996
illness anxiety disorder (hypochondria),8989
depression (major depressive disorder),8989
"flatfoot (pes planus), right",8994
"flatfoot (pes planus), left",8994
"flatfoot (pes planus), bilateral",8994
"ankylosis in shoulder, right",9002
"ankylosis in shoulder, left",9002
"ankylosis in shoulder, bilateral",9002
sleep apnea,9012
lower back sprain (lumbosacral sprain),8998
"greater trochanteric pain syndrome (lateral hip pain), left",8996
"plantar fasciitis, right",8994
"plantar fasciitis, left",8994
"plantar fasciitis, bilateral",8994
migraines (headaches),9007
hearing loss,3140
PTSD (post-traumatic stress disorder),8989
"knee instability, right",8997
"knee instability, bilateral",8997
"knee instability, left",8997
tinnitus (ringing or hissing in ears),3140
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
migraines (headaches),9007
GERD (gastroesophageal reflux disease),8968
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
asthma,9012
"hip impingement (femoroacetabular impingement or FAI), left",8996
asthma,9012
GERD (gastroesophageal reflux disease),8968
"carpal tunnel syndrome, bilateral",9006
"shoulder impingement syndrome, bilateral",9002
traumatic brain injury (TBI),9020
"gout in foot, left",8994
migraines (headaches),9007
erectile dysfunction (ED),8975
unmapped contention text ['lower back'],8998
"knee instability, right",8997
Diabetes Mellitus,8973
Heart Condition,8979
chronic obstructive pulmonary disease (COPD),9012
Bronchitis,9012
Chronic Fatigue Syndrome,8986
Fibromyalgia,9007
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['hearing loss'],3140
chronic fatigue syndrome,8986
unmapped contention text ['shoulder'],9002
unmapped contention text ['knee'],8997
unmapped contention text ['ankle'],8991
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
enlarged prostate (benign prostatic hyperplasia or BPH),8975
chronic kidney disease (CKD),8975
hypothyroidism (underactive thyroid),8973
unmapped contention text ['type diabetes'],8973
atrial fibrillation (A-fib),8979
congestive heart failure (CHF),8979
chronic obstructive pulmonary disease (COPD),9012
sleep apnea,9012
PTSD (post-traumatic stress disorder),8989
sleep apnea,9012
"knee strain or sprain, left",8997
middle back sprain (thoracic sprain),8998
middle back strain (thoracic strain),8998
acne,9016
neck sprain (cervical sprain),8999
neck strain (cervical strain),8999
"shoulder strain, right",9002
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
sleep apnea,9012
hemorrhoids,8968
"flatfoot (pes planus), bilateral",8994
GERD (gastroesophageal reflux disease),8968
unmapped contention text ['tinnitus ringing hissing ears'],3140
erectile dysfunction (ED),8975
middle back sprain (thoracic sprain),8998
lower back sprain (lumbosacral sprain),8998
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016
generalized anxiety disorder (GAD),8989
migraines (headaches),9007
herpes (herpes simplex virus or HSV),9016
Hearing loss,3140
"knee strain or sprain, bilateral",8997
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
chronic sinusitis,9012
migraines (headaches),9007
"chronic rhinitis, allergic or non-allergic",9012
vitiligo,9016
"spondylolisthesis, back",8998
cervical spinal stenosis (narrowing of spinal canal in neck),8999
athlete's foot (tinea pedis),9016
"patellofemoral pain syndrome, left",8997
loss of teeth due to bone loss,8967
female sexual arousal disorder (FSAD),8978
traumatic brain injury (TBI),9020
"knee or patellar fracture, left",8997
hypertension (high blood pressure),8979
chronic sinusitis,9012
"foot fracture (tarsal or metatarsal fracture), right",8994
"tibia or fibula fracture, right",8997
PTSD (post-traumatic stress disorder),8989
pancreatic cancer,8932
liver cancer,8932
lung cancer,1230
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
"degenerative arthritis (osteoarthritis) in hand or fingers, bilateral",8995
menstrual disorders,8978
Respiratory,9012
irritable bowel syndrome (IBS),8968
"shin splints, bilateral",8997
"post-traumatic arthritis in shoulder, left",9002
migraines (headaches),9007
tinnitus (ringing or hissing in ears),3140
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
generalized anxiety disorder (GAD),8989
tinnitus (ringing or hissing in ears),3140
"degenerative arthritis (osteoarthritis) in shoulder, left",9002
"degenerative arthritis (osteoarthritis) in knee, right",8997
irritable bowel syndrome (IBS),8968
unmapped contention text ['bursitis elbow'],8993
"knee replacement (knee arthroplasty), bilateral",8997
erectile dysfunction (ED),8975
unmapped contention text ['foot'],8994
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
asthma,9012
dry eye syndrome,8974
unmapped contention text ['lower back sprain lumbosacral sprain'],8998
GERD (gastroesophageal reflux disease),8968
chronic sinusitis,9012
migraines (headaches),9007
sleep apnea,9012
PTSD (post-traumatic stress disorder),8989
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
neck strain (cervical strain),8999
migraines (headaches),9007
PTSD (post-traumatic stress disorder),8989
migraines (headaches),9007
hearing loss,3140
"gout in wrist, bilateral",9004
"gout in foot, bilateral",8994
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
hypertension (high blood pressure),8979
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
tinnitus (ringing or hissing in ears),3140
congestive heart failure (CHF),8979
migraines (headaches),9007
arrhythmia (irregular heartbeat),8979
heart attack (myocardial infarction),8971
erectile dysfunction (ED),8975
Migraines,9007
tinnitus (ringing or hissing in ears),3140
Sleep Apnea,9012
depression (major depressive disorder),8989
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['hip'],8996
unmapped contention text ['knee'],8997
"flatfoot (pes planus), bilateral",8994
"plantar fasciitis, bilateral",8994
PTSD (post-traumatic stress disorder),8989
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
lower back strain (lumbosacral strain),8998
"knee strain or sprain, bilateral",8997
tinnitus (ringing or hissing in ears),3140
"bursitis in hip, bilateral",8996
GERD (gastroesophageal reflux disease),8968
neck strain (cervical strain),8999
hysterectomy and ovariectomy (removal of uterus and both ovaries),8978
"chronic rhinitis, allergic or non-allergic",9012
unmapped contention text ['bladder'],8975
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
"degenerative arthritis (osteoarthritis) in knee, right",8997
"degenerative arthritis (osteoarthritis) in knee, left",8997
"degenerative arthritis (osteoarthritis) in ankle, right",8991
"degenerative arthritis (osteoarthritis) in ankle, left",8991
"knee instability, right",8997
"knee instability, left",8997
fibromyalgia,9007
"carpal tunnel syndrome, right",9006
"carpal tunnel syndrome, left",9006
lower back strain (lumbosacral strain),8998
"shoulder strain, right",9002
"shoulder strain, left",9002
neck strain (cervical strain),8999
migraines (headaches),9007
PTSD (post-traumatic stress disorder),8989
erectile dysfunction (ED),8975
tinnitus (ringing or hissing in ears),3140
"frostbite in foot, bilateral",8943
hearing loss,3140
chronic fatigue syndrome,8986
neck strain (cervical strain),8999
"shoulder impingement syndrome, bilateral",9002
irritable bowel syndrome (IBS),8968
"temporomandibular disorder, including TMJ",249481
sleep apnea,9012
"patellofemoral pain syndrome, bilateral",8997
sleep apnea,9012
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['lower back'],8998
"basal cell carcinoma of the skin, head or neck",1250
lower back strain (lumbosacral strain),8998
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
pulmonary fibrosis,9012
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['shoulder strain'],9002
lower back strain (lumbosacral strain),8998
middle back strain (thoracic strain),8998
hypertension (high blood pressure),8979
sleep apnea,9012
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
"PTSD (post-traumatic stress disorder), combat-related",8989
"tendonitis (tendinitis) in foot, right",8994
"shoulder strain, right",9002
migraines (headaches),9007
"knee strain or sprain, bilateral",8997
lower back sprain (lumbosacral sprain),8998
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006
persistent depressive disorder (dysthymic disorder),8989
PTSD (post-traumatic stress disorder),8989
"temporomandibular disorder, including TMJ",249481
"knee strain or sprain, left",8997
migraines (headaches),9007
Tinnitus,3140
unmapped contention text ['anxiety'],8989
chronic sinusitis,9012
neck strain (cervical strain),8999
"shoulder strain, right",9002
arrhythmia (irregular heartbeat),8979
premature ventricular contractions,8979
sleep apnea,9012
GERD (gastroesophageal reflux disease),8968
hearing loss,3140
"chronic rhinitis, allergic or non-allergic",9012
"flatfoot (pes planus), bilateral",8994
lower back strain (lumbosacral strain),8998
tinnitus (ringing or hissing in ears),3140
"greater trochanteric pain syndrome (lateral hip pain), bilateral",8996
"tendonitis (tendinitis) in knee, right",8997
"intervertebral disc syndrome (IVDS), back",8998
"spinal arthritis, back",8998
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998
"degenerative arthritis (osteoarthritis) in knee, left",8997
"degenerative arthritis (osteoarthritis) in knee, right",8997
"ankylosis in knee, left",8997
"ankylosis in knee, right",8997
"knee instability, bilateral",8997
"patellofemoral pain syndrome, bilateral",8997
"radiculopathy, bilateral lower extremities",8998
urinary incontinence (loss of bladder control),8975
"greater trochanteric pain syndrome (lateral hip pain), left",8996
"greater trochanteric pain syndrome (lateral hip pain), right",8996
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996
"ankylosis in hip, bilateral",8996
"bursitis in hip, bilateral",8996
"hip impingement (femoroacetabular impingement or FAI), bilateral",8996
chronic sinusitis,9012
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
adjustment disorder,8989
unmapped contention text ['ankle'],8991
"degenerative arthritis (osteoarthritis) in ankle, right",8991
"tendonitis (tendinitis) in ankle, right",8991
"degenerative arthritis (osteoarthritis) in ankle, left",8991
neck strain (cervical strain),8999
"hearing loss, other than tinnitus",3140
tinnitus (ringing or hissing in ears),3140
GERD (gastroesophageal reflux disease),8968
irritable bowel syndrome (IBS),8968
"intervertebral disc syndrome (IVDS), neck",8999
cervical spinal stenosis (narrowing of spinal canal in neck),8999
"ankle sprain, left",8991
"spinal arthritis, neck",8999
"PTSD (post-traumatic stress disorder), non-combat-related",8989
sleep apnea,9012
migraines (headaches),9007
asthma,9012
hemorrhoids,8968
"tendonitis (tendinitis) in ankle, left",8991
"radiculopathy, bilateral upper extremities",8999
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['neck'],8999
depression (major depressive disorder),8989
hypertension (high blood pressure),8979
PTSD (post-traumatic stress disorder),8989
Erectile Dysfunction,8975
unmapped contention text ['foot'],8994
Migraines,9007
unmapped contention text ['shoulder'],9002
unmapped contention text ['elbow'],8993
unmapped contention text ['wrist'],9004
Cervical strain,8999
Lumbosacral strain,8998
unmapped contention text ['skin'],9016
unmapped contention text ['ankle'],8991
Hypertension,8979
unmapped contention text ['knee'],8997
Sinusitis,9012
unmapped contention text ['allergic rhinitis'],9012
unmapped contention text ['hand'],8995
tinnitus,3140
hearing loss,3140
"deep vein thrombosis (DVT) in leg, left",8987
"scars, extremities or trunk",9013
"radiculopathy, right upper extremities",8999
"meniscus tear, right",8997
"knee instability, right",8997
PTSD (post-traumatic stress disorder),8989
hearing loss,3140
tinnitus (ringing or hissing in ears),3140
unmapped contention text ['anxiety'],8989
PTSD (post-traumatic stress disorder),8989
unmapped contention text ['tinnitus ringing hissing ears'],3140
"wrist sprain, bilateral",9004
urinary incontinence (loss of bladder control),8975
"hip sprain, bilateral",8996
ovarian cysts,8951
"plantar fasciitis, bilateral",8994
"shoulder strain, right",9002
"knee instability, bilateral",8997
migraines (headaches),9007
unmapped contention text ['conjunctivitis pink eye'],8974
gastroenteritis,8968
chronic sinusitis,9012
chronic bronchitis,9012
hemorrhoids,8968
lower back strain (lumbosacral strain),8998
unmapped contention text ['athletes foot tinea pedis'],9016
unmapped contention text ['eye'],8974
migraine,9007
depression,8989
anxiety condition,8989
lung condition,9012
shoulder strain,9002
foot pain,8994
knee strain,8997
unmapped contention text ['low back'],8998
ears-ringing,3140
unmapped contention text ['ptsd post traumatic stress disorder'],8989
"degenerative arthritis (osteoarthritis) in ankle, bilateral",8991
migraines (headaches),9007
GERD (gastroesophageal reflux disease),8968
chronic sinusitis,9012
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998
"intervertebral disc syndrome (IVDS), neck",8999
cervical spinal stenosis (narrowing of spinal canal in neck),8999
"temporomandibular disorder, including TMJ",249481
middle back strain (thoracic strain),8998
"golfer's elbow (medial epicondylitis), left",8993
sleep apnea,9012
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
migraines (headaches),9007
"chronic rhinitis, allergic or non-allergic",9012
migraines (headaches),9007
neck strain (cervical strain),8999
lower back strain (lumbosacral strain),8998
middle back strain (thoracic strain),8998
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006
"temporomandibular disorder, including TMJ",249481
"golfer's elbow (medial epicondylitis), bilateral",8993
unmapped contention text ['respiratory'],9012
"tendonitis (tendinitis) in hand or fingers, bilateral",8995
"tendonitis (tendinitis) in wrist, bilateral",9004
"patellofemoral pain syndrome, bilateral",8997
hemorrhoids,8968
"scars, extremities or trunk",9013
"bursitis in foot, bilateral",8994
"bursitis in ankle, bilateral",8991
"bursitis in knee, bilateral",8997
"bursitis in shoulder, bilateral",9002
"bursitis in elbow, bilateral",8993
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016
tinnitus (ringing or hissing in ears),3140
"metatarsalgia (pain in ball of foot), bilateral",8994
"hammer toe, bilateral",8994
athlete's foot (tinea pedis),9016
"ankle sprain, right",8991
"degenerative arthritis (osteoarthritis) in shoulder, left",9002
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
"degenerative arthritis (osteoarthritis) in ankle, bilateral",8991
"chronic rhinitis, allergic or non-allergic",9012
neck strain (cervical strain),8999
dry eye syndrome,8974
chronic sinusitis,9012
"tendonitis (tendinitis) in elbow, bilateral",8993
"shin splints, bilateral",8997
"knee strain or sprain, bilateral",8997
"tendonitis (tendinitis) in ankle, bilateral",8991
middle back strain (thoracic strain),8998
lower back strain (lumbosacral strain),8998
"shoulder impingement syndrome, bilateral",9002
"plantar fasciitis, bilateral",8994
"radiculopathy, bilateral lower extremities",8998
"chronic rhinitis, allergic or non-allergic",9012
irritable bowel syndrome (IBS),8968
persistent depressive disorder (dysthymic disorder),8989
generalized anxiety disorder (GAD),8989
"diabetes, type 1 or type 2",8973
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
hearing loss,3140
PTSD (post-traumatic stress disorder),8989
rhinitis,9012
generalized anxiety disorder (GAD),8989
lower back strain (lumbosacral strain),8998
"ankle sprain, right",8991
tinnitus (ringing or hissing in ears),3140
irritable bowel syndrome (IBS),8968
chronic bronchitis,9012
tinnitus (ringing or hissing in ears),3140
anal or perianal fistula (fistula-in-ano),8968
lower back strain (lumbosacral strain),8998
hypertension (high blood pressure),8979
sleep apnea,9012
"degenerative arthritis (osteoarthritis) in hip, bilateral",8996
Unemployability,6990
schizophrenia,8989
eczema (atopic dermatitis),9016
chronic sinusitis,9012
generalized anxiety disorder (GAD),8989
"chronic rhinitis, allergic or non-allergic",9012
"testicular cancer, left",8935
PTSD (post-traumatic stress disorder),8989
sleep apnea,9012
neck strain (cervical strain),8999
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
chronic fatigue syndrome,8986
tinnitus (ringing or hissing in ears),3140
hearing loss,3140
"shin splints, bilateral",8997
"bursitis in hip, bilateral",8996
persistent depressive disorder (dysthymic disorder),8989
generalized anxiety disorder (GAD),8989
adjustment disorder,8989
"degenerative arthritis (osteoarthritis) in knee, left",8997
"spinal arthritis, back",8998
"shoulder strain, bilateral",9002
"wrist sprain, right",9004
"shoulder impingement syndrome, bilateral",9002
chronic sinusitis,9012
sleep apnea,9012
asthma,9012
migraines (headaches),9007
PTSD (post-traumatic stress disorder),8989
tinnitus (ringing or hissing in ears),3140
"ankylosis in knee, left",8997
bulimia (type of eating disorder),8970
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016
"knee instability, left",8997
"hip sprain, bilateral",8996
unmapped contention text ['ankle'],8991
unmapped contention text ['elbow'],8993
unmapped contention text ['feet'],8994
Ibs,8968
"knee or patellar fracture, right",8997
"ankylosis in knee, bilateral",8997
"hip impingement (femoroacetabular impingement or FAI), bilateral",8996
"ankylosis in hip, bilateral",8996
"knee instability, bilateral",8997
lower back strain (lumbosacral strain),8998
sleep apnea,9012
hypertension (high blood pressure),8979
"non-diabetic peripheral neuropathy, bilateral lower extremities",9006
"tibia or fibula fracture, left",8997
costochondritis,249482
"visual impairment, including blurry vision, blindness and double vision",8974
"degenerative arthritis (osteoarthritis) in knee, left",8997
"hip impingement (femoroacetabular impingement or FAI), bilateral",8996
"intervertebral disc syndrome (IVDS), back",8998
"intervertebral disc syndrome (IVDS), neck",8999
migraines (headaches),9007
"flatfoot (pes planus), bilateral",8994
lower back sprain (lumbosacral sprain),8998
deviated septum,9012
pulmonary granuloma (lung nodule),8965
"bunions (hallux valgus), right",8994
chronic fatigue syndrome,8986
"chronic rhinitis, allergic or non-allergic",9012
"temporomandibular disorder, including TMJ",249481
"knee strain or sprain, right",8997
"degenerative arthritis (osteoarthritis) in knee, bilateral",8997
generalized anxiety disorder (GAD),8989
hemorrhoids,8968
asthma,9012
hypertension (high blood pressure),8979
PTSD (post-traumatic stress disorder),8989
chronic sinusitis,9012
"knee strain or sprain, bilateral",8997
tinnitus (ringing or hissing in ears),3140
depression (major depressive disorder),8989
sleep apnea,9012
"shoulder strain, bilateral",9002
middle back strain (thoracic strain),8998
lower back strain (lumbosacral strain),8998
PTSD (post-traumatic stress disorder),8989
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998
sleep apnea,9012
tinnitus (ringing or hissing in ears),3140
"chronic rhinitis, allergic or non-allergic",9012
PTSD (post-traumatic stress disorder),8989
sleep apnea,9012
"knee instability, bilateral",8997
generalized anxiety disorder (GAD),8989
hearing loss,3140
depression (major depressive disorder),8989
hearing loss,3140
generalized anxiety disorder (GAD),8989
hearing loss,3140
hemorrhoids,8968
tinnitus (ringing or hissing in ears),3140
depression (major depressive disorder),8989
migraines (headaches),9007
"flatfoot (pes planus), bilateral",8994
"plantar fasciitis, bilateral",8994
"tendonitis (tendinitis) in knee, left",8997
acne,9016
tinnitus (ringing or hissing in ears),3140
sleep apnea,9012
"chronic rhinitis, allergic or non-allergic",9012
"tendonitis (tendinitis) in wrist, bilateral",9004
"flatfoot (pes planus), bilateral",8994
"tendonitis (tendinitis) in hand or fingers, bilateral",8995
"tendonitis (tendinitis) in ankle, bilateral",8991
chronic fatigue syndrome,8986
sleep apnea,9012
dry eye syndrome,8974
tinnitus (ringing or hissing in ears),3140
hypertension (high blood pressure),8979
irritable bowel syndrome (IBS),8968
GERD (gastroesophageal reflux disease),8968
migraines (headaches),9007
"shoulder strain, bilateral",9002
"greater trochanteric pain syndrome (lateral hip pain), bilateral",8996
"knee strain or sprain, bilateral",8997
"shin splints, bilateral",8997
"plantar fasciitis, bilateral",8994
neck strain (cervical strain),8999
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
migraines (headaches),9007
"hip sprain, right",8996
lower back strain (lumbosacral strain),8998
tinnitus (ringing or hissing in ears),3140
urinary incontinence (loss of bladder control),8975
sleep apnea,9012
migraines (headaches),9007
"bunions (hallux valgus), bilateral",8994
GERD (gastroesophageal reflux disease),8968
"degenerative arthritis (osteoarthritis) in shoulder, right",9002
"chronic rhinitis, allergic or non-allergic",9012
adjustment disorder,8989
generalized anxiety disorder (GAD),8989
depression (major depressive disorder),8989
"radiculopathy, right upper extremities",8999
sleep apnea,9012
depression (major depressive disorder),8989
generalized anxiety disorder (GAD),8989
chronic fatigue syndrome,8986
hiatal hernia,8968
"plantar fasciitis, bilateral",8994
erectile dysfunction (ED),8975
hearing loss,3140
migraines (headaches),9007
deviated septum,9012
tinnitus (ringing or hissing in ears),3140
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
"degenerative arthritis (osteoarthritis) in elbow, bilateral",8993
"degenerative arthritis (osteoarthritis) in hand or fingers, bilateral",8995
hypertension (high blood pressure),8979
PTSD (post-traumatic stress disorder),8989
dry eye syndrome,8974
"visual impairment, including blurry vision, blindness and double vision",8974
"scars, head, face or neck",9014
middle back strain (thoracic strain),8998
"ankle sprain, right",8991
neck strain (cervical strain),8999
chronic sinusitis,9012
GERD (gastroesophageal reflux disease),8968
"chronic rhinitis, allergic or non-allergic",9012
chronic bronchitis,9012
"degenerative arthritis (osteoarthritis) in foot, bilateral",8994
sleep apnea,9012
"visual impairment, including blurry vision, blindness and double vision",8974
hearing loss,3140
chronic fatigue syndrome,8986
"chronic rhinitis, allergic or non-allergic",9012
tinnitus (ringing or hissing in ears),3140
PTSD (post-traumatic stress disorder),8989
sleep apnea,9012
irritable bowel syndrome (IBS),8968
erectile dysfunction (ED),8975
GERD (gastroesophageal reflux disease),8968
migraines (headaches),9007
agoraphobia,8989
PTSD (post-traumatic stress disorder),8989
generalized anxiety disorder (GAD),8989
unmapped contention text ['shoulder'],9002
"shin splints, bilateral",8997
hearing loss,3140
High blood pressure,8979
"chronic rhinitis, allergic or non-allergic",9012
erectile dysfunction (ED),8975
"radiculopathy, left lower extremities",8998
"hammer toe, bilateral",8994
"flatfoot (pes planus), bilateral",8994
PTSD (post-traumatic stress disorder),8989
irritable bowel syndrome (IBS),8968
neck strain (cervical strain),8999
"radiculopathy, bilateral lower extremities",8998
"shin splints, bilateral",8997
neck sprain (cervical sprain),8999
"shoulder strain, left",9002
"shoulder strain, right",9002
unmapped contention text ['foot'],8994
lower back sprain (lumbosacral sprain),8998
"shoulder strain, bilateral",9002
"tendonitis (tendinitis) in ankle, bilateral",8991
"tendonitis (tendinitis) in knee, bilateral",8997
migraines (headaches),9007
"knee strain or sprain, bilateral",8997
PTSD (post-traumatic stress disorder),8989
generalized anxiety disorder (GAD),8989
adjustment disorder,8989
"non-diabetic peripheral neuropathy, right upper extremities",9006
"hip sprain, bilateral",8996
alopecia,9016
hypertension (high blood pressure),8979
lumbar spinal stenosis (narrowing of spinal canal in lower back),8998
"flatfoot (pes planus), bilateral",8994
tinnitus (ringing or hissing in ears),3140
"pseudofolliculitis barbae (razor bumps, shave bumps, or ingrown hairs)",9016
GERD (gastroesophageal reflux disease),8968
sleep apnea,9012
"chronic rhinitis, allergic or non-allergic",9012
"shoulder strain, right",9002
"bursitis in foot, bilateral",8994
"plantar fasciitis, bilateral",8994
"bursitis in knee, bilateral",8997
"shin splints, bilateral",8997
sleep apnea,9012
depression (major depressive disorder),8989
"chronic rhinitis, allergic or non-allergic",9012
"scars, extremities or trunk",9013
obsessive compulsive disorder (OCD),8989
"bunions (hallux valgus), bilateral",8994
depression (major depressive disorder),8989
