Main condition/term,Synonym term 1,Synonym term 2,Synonym term 3,Synonym term 4,Legacy term 1,Legacy term 2,Legacy term 3,Legacy term 4,Legacy term 5,Legacy term 6,Legacy term 7,Location options,Autosuggestion term 1,Autosuggestion term 2,Autosuggestion term 3,Autosuggestion term 4,Autosuggestion term 5,Autosuggestion term 6,Classification Code,Classification Text,Diagnostic Code(s),Diagnostic Description or DC Group,DBQ (reference only),PACT Presumptive (reference only),Active autosuggestion terms,Active classification mapping,Term 1st appeared,Term updated,Term removed,Autosuggestion updated,Classification updated,Current Notes,Proposed update to DC to Classification mapping March 2024,Comments - v1.0 review,,lookup CC in DC mapping,CC matches CC used in DC to CC mapping,lookup DC code,lookup DC name,lookup DC code,lookup by name,lookup DC code,lookup DC name,,
kidney disease,,,,,kidney failure,renal failure,,,,,,,,,,,,,8975,Genitourinary,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"prostate gland (injuries, infections, hypertrophy)",,,,,,,,,,,,,,,,,,,8975,Genitourinary,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
bladder stones,,,,,bladder stone(s),calculus - bladder,,,,,,,bladder stones,,,,,,8975,Genitourinary,7515,calculus in bladder,DBQ GU Urinary Tract Conditions,no,Active,Active,v1.0,,,,,,,,,8975,yes,7515,calculus in bladder,No Match,No Match,No Match,No Match,,7515
chronic kidney disease (CKD),chronic kidney disease,CKD,,,chronic renal disease,,,,,,,,chronic kidney disease (CKD),,,,,,8975,Genitourinary,7530,chronic renal disease,DBQ GU Kidney,no,Active,Active,v1.0,,,,,,,,,8975,yes,7530,chronic renal disease,No Match,No Match,No Match,No Match,,7530
chronic nephritis (inflammation of kidneys),chronic nephritis,inflammation of kidneys,,,glomerulonephritis,nephritis,,,,,,,chronic nephritis (inflammation of kidneys),,,,,,8975,Genitourinary,7502,chronic nephritis,DBQ GU Kidney,no,Active,Active,v1.0,,,,,,,,,8975,yes,7502,chronic nephritis,No Match,No Match,No Match,No Match,,7502
diabetic nephropathy (diabetic kidney disease),diabetic nephropathy,diabetic kidney disease,,,,,,,,,,,diabetic nephropathy (diabetic kidney disease),,,,,,8975,Genitourinary,7541,renal involvement with systemic disease process,DBQ GU Kidney,no,Active,Active,v1.0,,,,,,,,,8975,yes,7541,renal involvement with systemic disease process,No Match,No Match,No Match,No Match,,7541
enlarged prostate (benign prostatic hyperplasia or BPH),enlarged prostate,benign prostatic hyperplasia,BPH,,,,,,,,,,enlarged prostate (benign prostatic hyperplasia or BPH),,,,,,8975,Genitourinary,7527,"prostate gland injuries, infections, hypertrophy",DBQ GU Male Reproductive Organ,no,Active,Active,v1.0,,,,,,,,,8975,yes,7527,"prostate gland injuries, infections, hypertrophy",No Match,No Match,No Match,No Match,,7527
epididymitis,,,,,,,,,,,,,epididymitis,,,,,,8975,Genitourinary,7525,"chronic prostatitis, urethritis, epididymitis, orchitis",DBQ GU Male Reproductive Organ,no,Active,Active,v1.0,,,,,,,,,8975,yes,7525,"chronic prostatitis, urethritis, epididymitis, orchitis",No Match,No Match,No Match,No Match,,7525
erectile dysfunction (ED),erectile dysfunction,ED,,,,,,,,,,,erectile dysfunction (ED),,,,,,8975,Genitourinary,7522,penile deformity (loss of erectile power),DBQ GU Male Reproductive Organ,no,Active,Active,v1.0,,,,,,,,,8975,yes,7522,penile deformity (loss of erectile power),No Match,No Match,No Match,No Match,,7522
hydrocele,,,,,,,,,,,,,"hydrocele, right",,,,,,8975,Genitourinary,7543,varicocele/Hydrocele,DBQ GU Male Reproductive Organ,no,Active,Active,v1.0,,,,,,,,,8975,yes,No Match,No Match,No Match,No Match,No Match,No Match,,7543
kidney removal (nephrectomy),kidney removal,nephrectomy,,,"kidney, removal of",removal of kidneys,,,,,,,kidney removal (nephrectomy),,,,,,8975,Genitourinary,7500,removal of kidney,DBQ GU Kidney,no,Active,Active,v1.0,,,,,,,,,8975,yes,7500,removal of kidney,No Match,No Match,No Match,No Match,,7500
kidney stones (nephrolithiasis),kidney stones,nephrolithiasis,,,kidney stone(s),,,,,,,,kidney stones (nephrolithiasis),,,,,,8975,Genitourinary,7508,nephrolithiasis (kidney stones),DBQ GU Kidney,no,Active,Active,v1.0,,,,,,,,,8975,yes,7508,nephrolithiasis (kidney stones),No Match,No Match,No Match,No Match,,7508
kidney transplant,,,,,,,,,,,,,kidney transplant,,,,,,8975,Genitourinary,7531,kidney transplant,DBQ GU Kidney,no,Active,Active,v1.0,,,,,,,,,8975,yes,7531,kidney transplant,No Match,No Match,No Match,No Match,,7531
neurogenic bladder,,,,,,,,,,,,,neurogenic bladder,,,,,,8975,Genitourinary,7542,neurogenic bladder,DBQ GU Urinary Tract Conditions,no,Active,Active,v1.0,,,,,,,,,8975,yes,7542,neurogenic bladder,No Match,No Match,No Match,No Match,,7542
orchitis (inflammation of testicles),orchitis,inflammation of testicles,,,,,,,,,,,orchitis (inflammation of testicles),,,,,,8975,Genitourinary,7525,"chronic prostatitis, urethritis, epididymitis, orchitis",DBQ GU Male Reproductive Organ,no,Active,Active,v1.0,,,,,,,,,8975,yes,No Match,No Match,7525,"chronic prostatitis, urethritis, epididymitis, orchitis",No Match,No Match,,7525
prostatitis (inflammation of prostate),prostatitis,inflammation of prostate,,,,,,,,,,,prostatitis (inflammation of prostate),,,,,,8975,Genitourinary,7525,"chronic prostatitis, urethritis, epididymitis, orchitis",DBQ GU Male Reproductive Organ,no,Active,Active,v1.0,,,,,,,,,8975,yes,No Match,No Match,No Match,No Match,7525,"chronic prostatitis, urethritis, epididymitis, orchitis",,7525
urethritis,,,,,,,,,,,,,urethritis,,,,,,8975,Genitourinary,7525,"chronic prostatitis, urethritis, epididymitis, orchitis",DBQ GU Urinary Tract Conditions,no,Active,Active,v1.0,,,,,,,,,8975,yes,No Match,No Match,No Match,No Match,No Match,No Match,,7525
urinary incontinence (loss of bladder control),urinary incontinence,loss of bladder control,,,,,,,,,,,urinary incontinence (loss of bladder control),,,,,,8975,Genitourinary,7517,injury of bladder,DBQ GU Urinary Tract Conditions,no,Active,Active,v1.0,,,,,,,,,8975,yes,7517,injury of bladder,No Match,No Match,No Match,No Match,,7517
varicocele,,,,,,,,,,,,"left, right, bilateral","varicocele, right","varicocele, left","varicocele, bilateral",,,,8975,Genitourinary,7543,varicocele/Hydrocele,DBQ GU Male Reproductive Organ,no,Active,Active,v1.0,,,,,,,,,8975,yes,No Match,No Match,7543,varicocele/Hydrocele,No Match,No Match,,7543
Gulf War Undiagnosed Illness,,,,,undiagnosed illness as a Gulf War veteran,,,,,,,,,,,,,,8977,Gulf War Undiagnosed Illness,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Gulf War Unexplained Chronic Multi-Symptom Illness,,,,,,,,,,,,,,,,,,,8976,Gulf War Unexplained Chronic Multi-Symptom Illness,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Gynecological,,,,,"ovary (disease, injury, or adhesions of)","uterus (disease, injury, or adhesions of)",,,,,,,,,,,,,8978,Gynecological,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
breast condition,,,,,,,,,,,,"left, right, bilateral","breast condition, right","breast condition, left","breast condition, bilateral",,,,8978,Gynecological,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
cervicitis,,,,,,,,,,,,,,,,,,,8978,Gynecological,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
menstrual disorders,,,,,,,,,,,,,,,,,,,8978,Gynecological,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
salpingitis,,,,,,,,,,,,,,,,,,,8978,Gynecological,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
uterus (displacement of),,,,,uterus (prolapse),,,,,,,,,,,,,,8978,Gynecological,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
vaginitis,,,,,vulvovaginitis,,,,,,,,,,,,,,8978,Gynecological,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
endometriosis,,,,,,,,,,,,,endometriosis,,,,,,8978,Gynecological,7629,endometriosis,DBQ GYN Gynecological,no,Active,Active,v1.0,,,,,,,,,8978,yes,7629,endometriosis,No Match,No Match,No Match,No Match,,7629
female sexual arousal disorder (FSAD),female sexual arousal disorder,FSAD,,,,,,,,,,,female sexual arousal disorder (FSAD),,,,,,8978,Gynecological,7632,female sexual arousal disorder (FSAD),DBQ GYN Gynecological,no,Active,Active,v1.0,,,,,,,,,8978,yes,7632,female sexual arousal disorder (FSAD),No Match,No Match,No Match,No Match,,7632
hysterectomy (removal of uterus),hysterectomy,removal of uterus,,,hysterectomy,uterus (removal of),,,,,,,hysterectomy (removal of uterus),,,,,,8978,Gynecological,7618,removal of uterus,DBQ GYN Gynecological,no,Active,Active,v1.0,,,,,,,,,8978,yes,7618,removal of uterus,No Match,No Match,No Match,No Match,,7618
hysterectomy and ovariectomy (removal of uterus and both ovaries),hysterectomy and ovariectomy,removal of uterus and both ovaries,,,,,,,,,,,hysterectomy and ovariectomy (removal of uterus and both ovaries),,,,,,8978,Gynecological,7617,removal of uterus and both ovaries,DBQ GYN Gynecological,no,Active,Active,v1.0,,,,,,,,,8978,yes,7617,removal of uterus and both ovaries,No Match,No Match,No Match,No Match,,7617
ovariectomy (removal of one or both ovaries),ovariectomy,removal of one ovary,removal of both ovaries,removal of ovaries,ovary (removal of),,,,,,,,ovariectomy (removal of one or both ovaries),,,,,,8978,Gynecological,7619,removal of ovary,DBQ GYN Gynecological,no,Active,Active,v1.0,,,,,,,,,8978,yes,7619,removal of ovary,No Match,No Match,No Match,No Match,,7619
polycystic ovary syndrome (PCOS),polycystic ovary syndrome,PCOS,,,,,,,,,,,polycystic ovary syndrome (PCOS),,,,,,8978,Gynecological,7615,disease or injury of the ovary,DBQ GYN Gynecological,no,Active,Active,v1.0,,,,,,,,,8978,yes,7615,disease or injury of the ovary,No Match,No Match,No Match,No Match,,7615
hearing loss,,,,,"hearing loss, other than tinnitus","hearing loss, sensorineural",,,,,,,hearing loss,,,,,,3140,Hearing Loss,6100,"hearing loss, other than tinnitus",DBQ AUDIO Hearing Loss and Tinnitus,no,Active,Active,v1.0,v1.2,,"Replaced ""hearing loss, other than tinnitus"" with this term, based on VBA request to remove terms with ""other than""",,,,,,3140,yes,No Match,No Match,No Match,No Match,No Match,No Match,,6100
tinnitus (ringing or hissing in ears),tinnitus,ringing in ears,hissing in ears,,tinnitus,ears-ringing,ringing in ears,,,,,,tinnitus (ringing or hissing in ears),,,,,,3140,Hearing Loss,6260,tinnitus,DBQ AUDIO Hearing Loss and Tinnitus,no,Active,Active,v1.0,,,,,,,,,3140,yes,6260,tinnitus,No Match,No Match,No Match,No Match,,6260
Heart/Veins/Arteries,,,,,coronary,coronary accident,valvular heart disease,,,,,,,,,,,,8979,Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
abnormal heart,,,,,,,,,,,,,,,,,,,8979,Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
angina,,,,,,,,,,,,,,,,,,,8979,Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Buerger's disease,,,,,,,,,,,,,,,,,,,8979,Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
cor pulmonale,,,,,,,,,,,,,,,,,,,8979,Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
heart condition,,,,,heart disease,heart failure,myocarditis,pericarditis,endocarditis,,,,,,,,,,8979,Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
aortic insufficiency (aortic regurgitation),aortic insufficiency,aortic regurgitation,,,,,,,,,,,aortic insufficiency (aortic regurgitation),,,,,,8979,Heart/Veins/Arteries,7000,valvular heart disease,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,,,,8979,yes,No Match,No Match,No Match,No Match,No Match,No Match,,7000
aortic valve disease,,,,,,,,,,,,,aortic valve disease,,,,,,8979,Heart/Veins/Arteries,7000,valvular heart disease,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,,,,8979,yes,No Match,No Match,No Match,No Match,7000,valvular heart disease,,7000
arrhythmia (irregular heartbeat),arrhythmia,irregular heartbeat,,,arrhythmia,,,,,,,,arrhythmia (irregular heartbeat),,,,,,8979,Heart/Veins/Arteries,Multiple,Arrhythmia Group,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,,,,No Match,no,7010,supraventricular tachycardia,No Match,No Match,No Match,No Match,,7010
atrial fibrillation (A-fib),atrial fibrillation,A-fib,,,,,,,,,,,atrial fibrillation (A-fib),,,,,,8979,Heart/Veins/Arteries,7010,supraventricular tachycardia,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,,,,8979,yes,No Match,No Match,No Match,No Match,No Match,No Match,,7010
congestive heart failure (CHF),congestive heart failure,CHF,,,CHF,congestive heart failure,,,,,,,congestive heart failure (CHF),,,,,,8979,Heart/Veins/Arteries,7005,arteriosclerotic heart disease,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,,,,8979,yes,No Match,No Match,7005,arteriosclerotic heart disease,No Match,No Match,,7005
coronary artery disease (CAD or arteriosclerotic heart disease),coronary artery disease,CAD,arteriosclerotic heart disease,,arteriosclerosis,arteriosclerosis obliterans,arteriosclerotic heart disease,atherosclerosis,coronary artery disease,CAD,ASHD,,coronary artery disease (CAD or arteriosclerotic heart disease),,,,,,8979,Heart/Veins/Arteries,7005,arteriosclerotic heart disease,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,,,,8979,yes,7005,arteriosclerotic heart disease,No Match,No Match,No Match,No Match,,7005
heart bypass surgery (coronary artery bypass graft),heart bypass surgery,coronary artery bypass graft,,,coronary artery bypass,,,,,,,,heart bypass surgery (coronary artery bypass graft),,,,,,8979,Heart/Veins/Arteries,7017,coronary bypass surgery,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,,,,8979,yes,7017,coronary bypass surgery,No Match,No Match,No Match,No Match,,7017
hypertension (high blood pressure),hypertension,high blood pressure,,,high blood pressure,hypertension,,,,,,,hypertension (high blood pressure),,,,,,8979,Heart/Veins/Arteries,7101,hypertensive vascular disease,DBQ CARDIO Hypertension,no,Active,Active,v1.0,,,,,,,,,8979,yes,7101,hypertensive vascular disease,No Match,No Match,No Match,No Match,,7101
mitral regurgitation,,,,,,,,,,,,,mitral regurgitation,,,,,,8979,Heart/Veins/Arteries,7000,valvular heart disease,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,,,,8979,yes,7000,valvular heart disease,No Match,No Match,No Match,No Match,,7000
mitral valve prolapse (Barlow syndrome),mitral valve prolapse,Barlow syndrome,,,abnormal mitral valve,,,,,,,,mitral valve prolapse (Barlow syndrome),,,,,,8979,Heart/Veins/Arteries,7000,valvular heart disease,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,,,,8979,yes,No Match,No Match,7000,valvular heart disease,No Match,No Match,,7000
premature ventricular contractions,,,,,,,,,,,,,premature ventricular contractions,,,,,,8979,Heart/Veins/Arteries,Multiple,Arrhythmia Group,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,No Match,No Match,,7011
Raynaud's disease,,,,,,,,,,,,,Raynaud's disease,,,,,,8979,Heart/Veins/Arteries,7124,Raynaud's disease (primary Raynaud's),DBQ CARDIO Artery & Veins,no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,,,8979,yes,7124,Raynaud's disease (primary Raynaud's),No Match,No Match,No Match,No Match,,7124
tachycardia,,,,,,,,,,,,,tachycardia,,,,,,8979,Heart/Veins/Arteries,Multiple,Arrhythmia Group,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,No Match,No Match,7010,supraventricular tachycardia,,7010
"varicose veins, other than in leg",,,,,,,,,,,,,"varicose veins, other than in leg",,,,,,8979,Heart/Veins/Arteries,7120,varicose veins,DBQ CARDIO Artery & Veins,no,Inactive,Active,v1.0,,v1.2,,,,Add to DC-classification lookup - addressed,,,8979,yes,No Match,No Match,7120,varicose veins,No Match,No Match,,7120
ventricular hypertrophy,,,,,,,,,,,,,right ventricular hypertrophy (RVH),left ventricular hypertrophy (LVH),biventricular hypertrophy,,,,8979,Heart/Veins/Arteries,Multiple,Arrhythmia Group,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,,,,No Match,no,No Match,No Match,7011,ventricular arrhythmias,No Match,No Match,,7011
Wolff-Parkinson-White syndrome,,,,,,,,,,,,,Wolff-Parkinson-White syndrome,,,,,,8979,Heart/Veins/Arteries,7010,supraventricular tachycardia,DBQ CARDIO Heart,no,Active,Active,v1.0,,,,,,,,,8979,yes,No Match,No Match,7010,supraventricular tachycardia,No Match,No Match,,7010
Helpless Child,,,,,,,,,,,,,,,,,,,8980,Helpless Child,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Hemic and Lymphatic,,,,,,,,,,,,,,,,,,,8981,Hemic and Lymphatic,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
anemia,,,,,"anemia, primary",primary anemia,,,,,,,anemia,,,,,,8981,Hemic and Lymphatic,7700,anemia [Removed],"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia",no,Inactive,Active,v1.0,,v1.1,,,this was included in error before; we have more specific terms for iron deficiency anemia and sickle cell anemia,,,,8981,yes,7700,anemia [Removed],No Match,No Match,No Match,No Match,,7700
thrombocytopenia,,,,,,,,,,,,,,,,,,,8981,Hemic and Lymphatic,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
iron deficiency anemia,,,,,,,,,,,,,iron deficiency anemia,,,,,,8981,Hemic and Lymphatic,7720,iron deficiency anemia,"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia",no,Active,Active,v1.0,,,,,,,,,8981,yes,7720,iron deficiency anemia,No Match,No Match,No Match,No Match,,7720
sickle cell anemia,,,,,,,,,,,,,sickle cell anemia,,,,,,8981,Hemic and Lymphatic,7714,sickle cell anemia,"DBQ HEM Hematologic and Lymphatic Conditions, Including Leukemia",no,Active,Active,v1.0,,,,,,,,,8981,yes,7714,sickle cell anemia,No Match,No Match,No Match,No Match,,7714
Hemorrhage - Eye (Vision),Hemorrhage Eye,Hemorrhage Vision,,,,,,,,,,,,,,,,,8982,Hemorrhage - Eye (Vision),8982,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Hemorrhage - Neurological other System,,,,,,,,,,,,,,,,,,,8983,Hemorrhage - Neurological other System,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
avitaminosis,,,,,pellagra,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
beriberi (including beriberi heart disease),beriberi,beriberi heart disease,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
kala-azar,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
cholera,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
dracontiasis,,,,,dracunculiasis,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
helminthiasis,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
loiasis,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Lyme disease,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
plague,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
rheumatic fever,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
schistosomiasis,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
syphilis,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
yellow fever,,,,,,,,,,,,,,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
chronic fatigue syndrome,,,,,,,,,,,,,chronic fatigue syndrome,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",6354,chronic fatigue syndrome,DBQ RHEUM Chronic fatigue syndrome,no,Active,Active,v1.0,,,,,,,,,8986,yes,6354,chronic fatigue syndrome,No Match,No Match,No Match,No Match,,6354
Hansen's disease (leprosy),leprosy,Hansen's disease,,,Hansen's disease,leprosy,,,,,,,Hansen's disease (leprosy),,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",6302,leprosy (Hansen's disease),"DBQ INFECT Infectious Disease (Other than HIV-related illness, Chronic Fatigue Syndrome, and Tuberculosis)",no,Active,Active,v1.0,,,,,,,,,8986,yes,6302,leprosy (Hansen's disease),No Match,No Match,No Match,No Match,,6302
HIV-related illness,,,,,HIV,AIDS,human immunodeficiency virus,,,,,,HIV-related illness,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",6351,HIV-related illness,DBQ INFECT HIV-Related Illnesses,no,Active,Active,v1.0,,,,,,,,,8986,yes,6351,HIV-related illness,No Match,No Match,No Match,No Match,,6351
lupus,,,,,discoid lupus,erythematosus lupus,"lupus, discoid","lupus, systemic",systemic lupus,,,,lupus,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",6350,systemic lupus erythematosus,"DBQ INFECT Infectious Disease (Other than HIV-related illness, Chronic Fatigue Syndrome, and Tuberculosis)",no,Active,Active,v1.0,,,,,,,,,8986,yes,6350,systemic lupus erythematosus,No Match,No Match,No Match,No Match,,6350
lymphatic filariasis,,,,,filariasis,,,,,,,,lymphatic filariasis,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",6305,lymphatic filariasis,"DBQ INFECT Infectious Disease (Other than HIV-related illness, Chronic Fatigue Syndrome, and Tuberculosis)",no,Active,Active,v1.0,,,,,,,,,8986,yes,6305,lymphatic filariasis,No Match,No Match,No Match,No Match,,6305
malaria,,,,,blackwater fever,,,,,,,,malaria,,,,,,8986,"Infectious Diseases, Immune Disorders & Nutritional Deficiencies",6304,malaria,"DBQ INFECT Infectious Disease (Other than HIV-related illness, Chronic Fatigue Syndrome, and Tuberculosis)",no,Active,Active,v1.0,,,,,,,,,8986,yes,6304,malaria,No Match,No Match,No Match,No Match,,6304
Leg Condition - Heart/Veins/Arteries,,,,,,,,,,,,,,,,,,,8987,Leg Condition - Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
deep vein thrombosis (DVT) in leg,deep vein thrombosis in leg,DVT in leg,,,,,,,,,,"left, right, bilateral","deep vein thrombosis (DVT) in leg, right","deep vein thrombosis (DVT) in leg, left","deep vein thrombosis (DVT) in leg, bilateral",,,,8987,Leg Condition - Heart/Veins/Arteries,7121,post-phlebitic syndrome,DBQ CARDIO Artery & Veins,no,Active,Active,v1.0,,,,,,Add to DC-classification lookup - addressed,"ADDRESSED - (EH) the bilateral condition should be ""in leg"" not ""in legs"" for consistency",,8979,no,7121,post-phlebitic syndrome,No Match,No Match,No Match,No Match,,7121
varicose veins in leg,,,,,,,,,,,,"left, right, bilateral","varicose veins in leg, right","varicose veins in leg, left","varicose veins in leg, bilateral",,,,8987,Leg Condition - Heart/Veins/Arteries,7120,varicose veins,DBQ CARDIO Artery & Veins,no,Active,Active,v1.0,v1.2,,replaced with terms with r/l/bilateral,,,,,,,,,,,,,,,
Leg Condition - Neurological other System,,,,,,,,,,,,,,,,,,,8988,Leg Condition - Heart/Veins/Arteries,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Mental Disorders,,,,,mental disorder,mental disease,,,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
alcohol abuse,,,,,,,,,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
dementia,,,,,,,,,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
manic-depressive reaction,,,,,,,,,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
paranoid reaction,,,,,,,,,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
personality disorder,,,,,,,,,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
phobias,,,,,,,,,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
psychosis,,,,,psychoses,psychotic depressive reaction,psychotic reaction,,,,,,,,,,,,8989,Mental Disorders,,,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
adjustment disorder,,,,,,,,,,,,,adjustment disorder,,,,,,8989,Mental Disorders,9440,chronic adjustment disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,,,,8989,yes,9440,chronic adjustment disorder,No Match,No Match,No Match,No Match,165,9440
agoraphobia,,,,,,,,,,,,,agoraphobia,,,,,,8989,Mental Disorders,9412,panic disorder and/or agoraphobia,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,,,,8989,yes,9412,panic disorder and/or agoraphobia,No Match,No Match,No Match,No Match,v1.1,9412
bipolar disorder,,,,,,,,,,,,,bipolar disorder,,,,,,8989,Mental Disorders,9432,bipolar disorder,DBQ PSYCH Mental Disorders,no,Active,Active,v1.0,,,,,,,,,8989,yes,9432,bipolar disorder,No Match,No Match,No Match,No Match,,9432
